나라,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
아프가니스탄,0.41388,0.4908,0.68859,0.70674,0.83855,1.0069,1.0912,1.2819,1.2234,0.94123,1.6704,1.8936,1.5303,1.6355,1.9132,2.1214,1.9809,2.3842,2.1533,2.2328,1.7563,1.9785,2.0946,2.52,2.8215,3.5014,3.1336,3.1138,2.8569,2.7649,2.0243,1.9143,1.4821,1.4869,1.4538,1.4173,1.3701,1.3042,1.2785,1.0916,1.0471,1.0691,1.341,1.5596,1.2372,1.8895,2.1593,2.7999,4.2545,6.3919,8.3648,11.8383,10.0353,9.2505,9.1703,9.7911,9.0676,9.868,10.818,11.0816,11.8881,12.2831,12.1479
알바니아,2.0222,2.2785,2.4617,2.0806,2.0147,2.1722,2.5496,2.6775,3.0692,3.2413,3.7395,4.348,5.638,5.2864,4.3415,4.5912,4.9472,5.7173,6.4912,7.584,5.1708,7.3396,7.3076,7.6308,7.8259,7.8815,8.0581,7.4471,7.3292,8.9862,5.5206,4.2902,2.5171,2.338,1.9238,2.0891,2.0175,1.543,1.7547,2.9862,3.0249,3.2207,3.7483,4.3035,4.1767,4.2614,3.9107,3.949,4.397,4.4066,4.7839,5.3147,4.8501,5.2875,5.9997,4.7121,4.632,5.293,4.895,4.8269,5.0189,4.9037,4.9547
알제리,6.1512,6.0559,5.661,5.4192,5.643,6.5885,8.4209,8.4316,9.0502,11.263,15.059,18.6495,28.3226,38.2774,31.8767,32.0012,39.1311,41.8449,62.4553,45.5456,66.4165,46.342,39.173,52.5039,70.9465,72.6091,76.0804,83.8835,83.708,79.8083,76.7376,78.8068,79.8833,81.944,88.6084,96.7769,100.0394,88.3694,106.5366,91.4491,85.3986,86.8393,90.6924,94.5806,91.7142,110.9925,105.8962,109.8894,111.0874,118.8563,118.3533,125.0946,135.6743,140.7864,151.2828,160.0875,158.4816,165.0896,171.276,178.5772,169.8928,180.2252,176.3451
안도라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46533,0.49464,0.48365,0.37373,0.36305,0.36865
앙골라,0.54895,0.45371,1.1791,1.1497,1.2229,1.1862,1.5525,0.99181,1.6695,2.7831,3.5779,3.4054,4.5005,4.8737,4.8664,4.4088,3.28,3.5275,5.3998,5.4892,5.3344,5.2668,4.6352,5.1005,4.9858,4.6761,4.6338,5.786,5.0493,4.9227,5.0899,5.0641,5.1644,5.7484,11.3532,12.6167,15.249,15.8842,16.5133,17.2613,15.9951,15.9085,16.08,17.4844,17.0157,15.3868,17.1448,17.5879,18.7502,20.6683,22.9833,23.397,25.941,25.7097,24.7677,26.0304,23.9927,22.617,21.4345,19.2222,16.7648,17.5057,16.0703
앵귈라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047632,0.047632,0.047632,0.05496,0.05496,0.058624,0.062288,0.062288,0.065952,0.065952,0.076944,0.084272,0.084272,0.087936,0.10259,0.10992,0.12091,0.12458,0.12458,0.12458,0.1319,0.12458,0.12091,0.11725,0.12091,0.13923,0.13923,0.12824,0.1319,0.14656,0.1429,0.1377,0.13897
앤티가 바부다,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.24182,0.24915,0.24915,0.25648,0.26747,0.27114,0.28946,0.31144,0.32243,0.34442,0.35541,0.37006,0.4067,0.42869,0.45067,0.47998,0.51662,0.53494,0.53861,0.55693,0.5496,0.54594,0.55693,0.55693,0.56792,0.58258,0.59723,0.60456,0.61555,0.6412,0.61922,0.59669,0.60219
아르헨티나,48.7645,51.1267,53.6401,50.0327,55.67,58.8048,63.0727,65.476,69.0092,77.2489,82.648,88.8471,90.0666,93.9759,95.4804,94.8455,99.6992,100.7059,102.5556,110.6161,108.6561,101.9685,103.3511,105.142,106.4517,100.5312,104.1501,114.8772,121.4047,117.0204,112.0791,117.5057,121.2306,117.7775,118.4694,125.2398,131.1348,136.5237,139.005,147.6736,142.7652,134.4223,124.4546,133.9938,156.7124,161.1892,174.2099,173.4821,187.2435,178.111,185.8543,189.6761,191.2921,189.5377,188.3965,191.7438,189.9204,186.8989,180.5993,178.5116,166.8796,189.7441,192.8644
아르메니아,3.1539,3.2562,3.4226,3.6753,3.9129,4.1528,4.3873,4.5927,4.7271,4.927,5.1808,5.5079,5.802,6.0556,6.2954,6.6249,6.8818,7.1187,7.3681,7.4289,7.7198,7.5855,7.7299,7.8456,7.9199,8.5344,8.0642,8.1895,9.2902,9.4625,8.9475,7.3078,5.7237,2.5102,2.6847,3.3627,2.5003,3.2528,3.4191,3.0402,3.4914,3.5327,3.0768,3.4556,3.6912,4.3762,4.4016,5.1002,5.5748,4.3633,4.2527,4.9689,5.7483,5.535,5.6041,5.4693,5.203,5.5402,5.8258,6.2841,6.799,7.0641,6.4078
아루바,0.61856,0.64555,0.70894,0.67909,0.66028,0.59239,0.55394,0.68236,0.63451,0.83041,0.92876,0.80832,0.78378,0.86946,0.78808,0.57071,1.2191,0.63676,0.54229,0.56887,0.58543,0.55762,0.62347,0.32042,0.80014,0.93653,0.17954,0.44701,0.61189,0.64853,0.48731,0.53128,0.53861,0.64853,0.65952,0.70715,0.72547,0.75845,0.80608,0.80974,2.3779,2.4072,2.4366,2.5611,2.6161,2.7187,2.715,2.8213,2.6564,2.6271,2.5062,2.4988,1.3484,0.86104,0.87203,0.89768,0.88302,0.89035,0.87203,0.89035,0.89035,0.85797,0.86587
