"성별(1)","응답자특성별(1)",응답자특성별(2),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"성별(1)","응답자특성별(1)",응답자특성별(2),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%)
"여학생","전체",소계,4.2,3.7,3.7,3.5,3.5,4.2,4.8,5.2,5.2,6.1,6.9,7.6,8.0,8.1,8.4,9.1,8.5,8.9
"여학생","학년별",고1,3.9,3.0,4.5,3.6,3.3,4.2,4.7,5.5,5.1,6.9,7.9,8.3,8.6,7.6,7.9,10.1,8.7,9.2
"여학생","학년별",고2,4.6,4.6,3.8,4.4,3.7,4.8,5.7,5.7,5.9,6.8,8.5,8.8,9.4,10.8,10.0,11.3,9.7,10.7
"여학생","학년별",고3,6.6,4.8,4.9,4.4,4.7,5.4,6.0,5.9,6.2,8.3,8.1,9.8,11.0,11.8,13.0,12.5,12.1,11.7
"여학생","학교급별",고등학교,5.0,4.1,4.4,4.1,3.9,4.8,5.4,5.7,5.7,7.3,8.2,9.0,9.8,10.1,10.3,11.3,10.2,10.5
"여학생","지역별",서울,4.1,4.0,4.3,3.9,3.1,4.1,4.2,5.1,4.7,5.8,6.7,7.0,6.9,8.0,7.3,8.3,8.4,7.4
"여학생","지역별",부산,4.3,3.9,3.0,3.3,3.3,4.2,4.7,4.6,5.1,5.9,5.6,8.0,9.0,7.9,8.2,8.8,8.9,7.4
"여학생","지역별",대구,3.2,3.8,3.7,3.0,3.1,3.9,5.1,4.6,4.3,4.0,6.9,7.0,7.3,6.6,8.7,6.7,8.7,8.9
"여학생","지역별",인천,5.3,4.2,3.6,4.4,4.1,4.5,5.4,5.7,6.6,6.0,7.4,8.6,8.8,9.0,10.4,10.8,9.2,10.8
"여학생","지역별",광주,3.0,2.5,2.5,2.9,1.8,3.5,4.4,4.2,4.2,5.3,6.2,7.8,7.7,9.1,7.4,10.1,9.4,7.3
"여학생","지역별",대전,4.2,3.7,3.8,3.9,2.6,3.9,5.0,4.7,4.6,5.3,5.5,6.1,6.7,7.8,8.4,6.6,9.1,8.9
"여학생","지역별",울산,4.2,3.5,3.2,2.9,2.6,3.5,4.5,5.1,5.3,5.6,8.8,8.8,7.4,7.7,9.5,10.5,8.3,9.5
"여학생","지역별",세종,-,-,-,-,-,-,-,-,-,6.1,6.1,5.1,7.7,4.7,4.6,8.1,8.2,5.1
"여학생","지역별",경기,4.6,3.5,3.3,3.1,3.8,3.8,4.3,5.0,4.7,5.5,6.1,6.3,7.6,7.1,7.6,8.5,6.7,7.4
"여학생","지역별",강원,5.2,4.5,4.8,5.0,5.4,4.8,8.5,6.2,6.6,7.4,8.0,9.7,8.8,10.6,8.0,9.8,12.5,11.7
"여학생","지역별",충북,4.9,3.6,4.6,3.3,3.7,4.6,5.0,5.3,5.9,8.5,7.4,10.3,7.7,10.2,10.3,9.6,9.6,11.2
"여학생","지역별",충남,4.7,3.3,4.3,3.6,3.6,4.6,4.6,5.1,6.1,6.6,8.6,8.0,9.6,10.1,9.4,10.7,10.0,10.3
"여학생","지역별",전북,3.2,2.8,3.5,3.4,2.6,5.5,5.9,5.0,6.6,6.5,6.1,7.7,9.0,8.7,9.4,11.4,9.1,12.3
"여학생","지역별",전남,3.3,3.5,4.2,3.8,3.5,4.0,6.6,5.7,4.2,7.8,8.5,8.5,10.1,10.4,8.4,10.4,9.4,12.5
"여학생","지역별",경북,4.5,4.3,4.4,3.3,3.5,5.3,4.6,6.6,6.6,8.7,7.8,10.5,9.3,8.8,10.4,9.2,10.3,10.4
"여학생","지역별",경남,3.6,3.6,3.3,3.6,4.1,4.7,4.8,5.3,5.1,6.3,8.6,7.5,8.1,7.7,8.6,10.5,9.3,10.8
"여학생","지역별",제주,4.0,5.4,4.4,4.1,7.2,5.3,6.4,7.0,6.8,8.6,9.9,11.1,13.8,10.4,10.9,13.3,10.9,10.3
